Product,StarQuik Price,Blinkit Price,Price Difference,Percentage Difference (%)
Toor Dal (1kg),120,132,12,10
Moong Dal (1kg),135,142,7,5.2
Urad Dal (1kg),125,140,15,12
Premium Basmati Rice (1kg),95,105,10,10.5
Sona Masoori Rice (1kg),65,72,7,10.8
Brown Rice (1kg),85,92,7,8.2
Wheat Flour (5kg),195,210,15,7.7
Besan (1kg),75,85,10,13.3
Sooji (1kg),45,52,7,15.6
Poha (500g),38,42,4,10.5
Maida (1kg),40,46,6,15
Semolina (500g),35,39,4,11.4
Idli Rice (1kg),60,69,9,15
Jaggery (500g),45,52,7,15.6
Sugar (1kg),42,45,3,7.1
Brown Sugar (500g),65,75,10,15.4
Salt (1kg),20,22,2,10
Black Pepper (100g),65,75,10,15.4
Red Chilli Powder (100g),45,50,5,11.1
Turmeric Powder (100g),35,38,3,8.6
Coriander Powder (100g),40,44,4,10
Cumin Powder (100g),60,66,6,10
Garam Masala (100g),75,85,10,13.3
Cardamom (50g),120,140,20,16.7
Cloves (50g),95,110,15,15.8
Cinnamon (50g),65,75,10,15.4
Mustard Seeds (100g),30,34,4,13.3
Fenugreek Seeds (100g),35,40,5,14.3
Sesame Seeds (100g),75,82,7,9.3
Flax Seeds (100g),95,110,15,15.8
Chia Seeds (100g),145,165,20,13.8
Sunflower Oil (1L),125,135,10,8
Mustard Oil (1L),165,180,15,9.1
Coconut Oil (500ml),210,235,25,11.9
Olive Oil (500ml),450,495,45,10
Ghee (500g),325,355,30,9.2
Butter (500g),240,260,20,8.3
Cheese Slice (10pcs),120,130,10,8.3
Paneer (200g),80,90,10,12.5
Milk (1L),62,68,6,9.7
Yogurt (400g),45,50,5,11.1
Bread (400g),40,45,5,12.5
Eggs (12pcs),75,82,7,9.3
Tea (250g),110,125,15,13.6
Coffee (50g),145,160,15,10.3
Green Tea (25 bags),125,140,15,12
Honey (250g),120,132,12,10
Jam (300g),95,105,10,10.5
Peanut Butter (350g),185,205,20,10.8
Mayonnaise (250g),110,125,15,13.6
Tomato Ketchup (500g),85,95,10,11.8
Pasta (500g),75,85,10,13.3
Noodles (280g),42,48,6,14.3
Breakfast Cereal (500g),195,215,20,10.3
Oats (500g),95,110,15,15.8
Cornflakes (500g),165,180,15,9.1
Muesli (500g),220,242,22,10
Biscuits (200g),45,50,5,11.1
Cookies (200g),75,85,10,13.3
Chips (150g),40,45,5,12.5
Namkeen (200g),65,72,7,10.8
Chocolate (100g),95,110,15,15.8
Ice Cream (500ml),175,195,20,11.4
Frozen Peas (500g),95,105,10,10.5
Frozen Mixed Vegetables (500g),120,132,12,10
Soft Drink (2L),85,90,5,5.9
Fruit Juice (1L),95,105,10,10.5
Mineral Water (1L),20,22,2,10
Energy Drink (250ml),95,102,7,7.4
Instant Coffee (50g),165,185,20,12.1
